sabe escribir
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
Menor de 2 años
1
1
2
1
1
1
1
1
1
Menor de 2 años
1
1
1
1
1
1
1
1
2
Menor de 2 años
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
1
1
1
1
1
2
1
1
1
1
2
1
1
1
1
Menor de 2 años
1
1
1
1
1
1
Menor de 2 años
1
1
Menor de 2 años
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
Menor de 2 años
1
1
Menor de 2 años
1
1
1
1
1
1
1
1
1
1
2
1
1
1
2
2
Menor de 2 años
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
Menor de 2 años
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
Menor de 2 años
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
1
1
1
1
1
1
1
1
Menor de 2 años
Menor de 2 años
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
Menor de 2 años
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
Menor de 2 años
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
Menor de 2 años
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
Menor de 2 años
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
Menor de 2 años
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
Menor de 2 años
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
Menor de 2 años
1
1
1
Menor de 2 años
1
1
1
1
1
1
2
2
1
1
1
1
1
1
1
1
2
Menor de 2 años
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
