año,salario semanal
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,60000.0
2004.0,0.0
2004.0,900.0
2004.0,3000.0
2004.0,24000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,22500.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,23400.0
2004.0,0.0
2004.0,0.0
2004.0,120000.0
2004.0,3000.0
2004.0,3000.0
2004.0,0.0
2004.0,30000.0
2004.0,12000.0
2004.0,9000.0
2004.0,51000.0
2004.0,30000.0
2004.0,0.0
2004.0,90000.0
2004.0,0.0
2004.0,0.0
2004.0,100200.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,21000.0
2004.0,0.0
2004.0,0.0
2004.0,96000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,15000.0
2004.0,0.0
2004.0,0.0
2004.0,15000.0
2004.0,0.0
2004.0,0.0
2004.0,30000.0
2004.0,0.0
2004.0,0.0
2004.0,18600.0
2004.0,0.0
2004.0,24000.0
2004.0,12000.0
2004.0,60000.0
2004.0,24000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,25500.0
2004.0,0.0
2004.0,61500.0
2004.0,0.0
2004.0,39000.0
2004.0,0.0
2004.0,0.0
2004.0,60000.0
2004.0,0.0
2004.0,24000.0
2004.0,21000.0
2004.0,27000.0
2004.0,75000.0
2004.0,0.0
2004.0,0.0
2004.0,3000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,30000.0
2004.0,16500.0
2004.0,126000.0
2004.0,0.0
2004.0,24000.0
2004.0,0.0
2004.0,0.0
2004.0,18270.0
2004.0,15270.0
2004.0,0.0
2004.0,0.0
2004.0,18000.0
2004.0,0.0
2004.0,16500.0
2004.0,0.0
2004.0,36000.0
2004.0,0.0
2004.0,24000.0
2004.0,9000.0
2004.0,60000.0
2004.0,16500.0
2004.0,24000.0
2004.0,12000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,33000.0
2004.0,21000.0
2004.0,9000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,18000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,12000.0
2004.0,21000.0
2004.0,10500.0
2004.0,0.0
2004.0,0.0
2004.0,36300.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,25500.0
2004.0,39000.0
2004.0,0.0
2004.0,0.0
2004.0,21000.0
2004.0,13500.0
2004.0,11460.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,75000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,9000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,93000.0
2004.0,78000.0
2004.0,54000.0
2004.0,9000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,57000.0
2004.0,0.0
2004.0,0.0
2004.0,3000.0
2004.0,18000.0
2004.0,0.0
2004.0,12000.0
2004.0,18000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,15000.0
2004.0,45000.0
2004.0,0.0
2004.0,144000.0
2004.0,18000.0
2004.0,0.0
2004.0,30000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,18000.0
2004.0,0.0
2004.0,21000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,39060.0
2004.0,0.0
2004.0,5460.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,18000.0
2004.0,57060.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,54000.0
2004.0,0.0
2004.0,22500.0
2004.0,0.0
2004.0,30000.0
2004.0,3000.0
2004.0,7200.0
2004.0,0.0
2004.0,0.0
2004.0,17100.0
2004.0,21000.0
2004.0,0.0
2004.0,33000.0
2004.0,60000.0
2004.0,0.0
2004.0,15000.0
2004.0,0.0
2004.0,36270.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,12000.0
2004.0,24000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,24000.0
2004.0,18000.0
2004.0,0.0
2004.0,0.0
2004.0,32760.0
2004.0,15000.0
2004.0,0.0
2004.0,0.0
2004.0,9000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,36000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,36000.0
2004.0,0.0
2004.0,18000.0
2004.0,21000.0
2004.0,13500.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,450.0
2004.0,0.0
2004.0,0.0
2004.0,45000.0
2004.0,0.0
2004.0,18000.0
2004.0,21300.0
2004.0,0.0
2004.0,0.0
2004.0,90000.0
2004.0,0.0
2004.0,0.0
2004.0,16500.0
2004.0,15000.0
2004.0,0.0
2004.0,0.0
2004.0,15600.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,15000.0
2004.0,36000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,24000.0
2004.0,24000.0
2004.0,0.0
2004.0,7650.0
2004.0,33000.0
2004.0,0.0
2004.0,33000.0
2004.0,21000.0
2004.0,0.0
2004.0,63000.0
2004.0,9060.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,18000.0
2004.0,15000.0
2004.0,30000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,4500.0
2004.0,9000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,6000.0
2004.0,0.0
2004.0,0.0
2004.0,42000.0
2004.0,30000.0
2004.0,45000.0
2004.0,45000.0
2004.0,30000.0
2004.0,33000.0
2004.0,15360.0
2004.0,0.0
2004.0,27060.0
2004.0,33900.0
2004.0,30000.0
2004.0,0.0
2004.0,0.0
2004.0,30000.0
2004.0,28500.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,24000.0
2004.0,5400.0
2004.0,0.0
2004.0,4500.0
2004.0,0.0
2004.0,18000.0
2004.0,42000.0
2004.0,30000.0
2004.0,0.0
2004.0,21000.0
2004.0,0.0
2004.0,14400.0
2004.0,0.0
2004.0,33000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,12000.0
2004.0,45000.0
2004.0,24000.0
2004.0,18060.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,6000.0
2004.0,8400.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,13500.0
2004.0,9600.0
2004.0,13500.0
2004.0,12900.0
2004.0,0.0
2004.0,12000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,54000.0
2004.0,9000.0
2004.0,0.0
2004.0,4500.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,24000.0
2004.0,0.0
2004.0,0.0
2004.0,12000.0
2004.0,7500.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,48000.0
2004.0,15000.0
2004.0,0.0
2004.0,0.0
2004.0,45000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,4200.0
2004.0,15000.0
2004.0,0.0
2004.0,0.0
2004.0,42000.0
2004.0,7500.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,18000.0
2004.0,13500.0
2004.0,81360.0
2004.0,4500.0
2004.0,0.0
2004.0,8400.0
2004.0,19800.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,30000.0
2004.0,36000.0
2004.0,24000.0
2004.0,9000.0
2004.0,15600.0
2004.0,0.0
2004.0,14100.0
2004.0,0.0
2004.0,15000.0
2004.0,0.0
2004.0,0.0
2004.0,48000.0
2004.0,30000.0
2004.0,16500.0
2004.0,8100.0
2004.0,1500.0
2004.0,0.0
2004.0,3600.0
2004.0,15000.0
2004.0,6000.0
2004.0,0.0
2004.0,0.0
2004.0,31650.0
2004.0,0.0
2004.0,24000.0
2004.0,180000.0
2004.0,0.0
2004.0,39000.0
2004.0,0.0
2004.0,15000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,15000.0
2004.0,15000.0
2004.0,0.0
2004.0,60000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,18000.0
2004.0,9000.0
2004.0,15000.0
2004.0,0.0
2004.0,0.0
2004.0,15000.0
2004.0,0.0
2004.0,24000.0
2004.0,75000.0
2004.0,0.0
2004.0,18000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,6000.0
2004.0,39000.0
2004.0,3000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,9000.0
2004.0,75060.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,66000.0
2004.0,24900.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,9000.0
2004.0,8700.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,4500.0
2004.0,9000.0
2004.0,0.0
2004.0,0.0
2004.0,9000.0
2004.0,19500.0
2004.0,6000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,12000.0
2004.0,0.0
2004.0,22800.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,48000.0
2004.0,21000.0
2004.0,15000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,57000.0
2004.0,18000.0
2004.0,75000.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,30000.0
2004.0,30000.0
2004.0,16500.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,45000.0
2004.0,0.0
2004.0,21000.0
2004.0,18000.0
2004.0,0.0
2004.0,120000.0
2004.0,0.0
